Best Amenity Scored,lat,lon,amenity,name,distance
208,49.2828492,-123.1158635,restaurant,Gotham,660.8347045002588
209,49.2831979,-123.1204825,bicycle_rental,Vancouver Art Gallery - North Plaza,308.68537662165204
210,49.2782532,-123.1218162,fast_food,24 Train Express Noodle House,509.5653589881266
211,49.2820553,-123.1335652,fast_food,La Belle Patate,726.0268291753586
212,49.2812088,-123.1319734,restaurant,Gurkha Himalayan Kitchen,616.6369185808979
213,49.2820205,-123.1204454,restaurant,Bistro Verde,305.8668687608513
214,49.2862256,-123.1161579,cafe,Edel Express,760.1519342814624
215,49.2856543,-123.1147275,cafe,Caffè Artigiano,827.0418454843414
216,49.2845132,-123.114372,cafe,CoCo Fresh Tea & Juice,808.1950782584845
217,49.2830665,-123.1126225,restaurant,Ha Long Bay,915.2804618154792
218,49.2838332,-123.113312,fast_food,Kyzock - House of Sushi Bowl,872.013651528006
219,49.2839646,-123.1135104,fast_food,Me Crêpes,859.4029779253233
220,49.2840103,-123.1135799,fast_food,2001 Flavors,855.0597865257228
221,49.283201,-123.1123664,bar,Yagger's,936.4010303008749
222,49.2835821,-123.1129034,cafe,Moii Cafe,899.3101025244571
223,49.2836356,-123.1130258,fast_food,Koala Kebabs,890.6602281125815
224,49.2837054,-123.1131194,fast_food,Cham Mani,884.5706736131762
225,49.2841885,-123.1139212,restaurant,Caveman Cafe,833.1857446790608
226,49.2837386,-123.1131665,fast_food,Sushi Spin Roll,881.5055584822219
227,49.2838178,-123.1132808,fast_food,Fresh Slice,874.1262013107167
228,49.2840406,-123.1221606,restaurant,Salam Bombay,240.227543020806
229,49.2787379,-123.1338109,car_sharing,Zipcar,852.6551042998657
230,49.285251099999996,-123.1186391,restaurant,Rue 909 Sushi,538.6763702343741
231,49.2860889,-123.1163367,cafe,Tim Hortons,740.1543889818472
232,49.2851463,-123.1184912,pub,Blackbird,541.7774791946282
233,49.2832205,-123.1155257,cafe,Tim Hortons,690.8321240451331
234,49.2829884,-123.1156531,cafe,Starbucks,678.345492191112
235,49.2766649,-123.1272005,fast_food,Subway,686.2714868952611
236,49.2768995,-123.1268568,bar,The Morrissey,652.9857951721543
237,49.2801028,-123.1181207,restaurant,Bentoya,551.2510301807204
238,49.2809297,-123.1246212,restaurant,Shizen Ya,175.30557536524032
239,49.2874551,-123.1289336,restaurant,Ramen Danbo,660.3556891479211
240,49.2855675,-123.1165611,pub,Moose's Down Under,695.1568500072083
241,49.2792456,-123.1168603,restaurant,Ebi-Ten,684.4653151796948
242,49.2813411,-123.1329394,fast_food,Yummy Pizza,687.4576045236242
243,49.2814237,-123.1330616,bar,The Capital,695.2230524428862
244,49.2806117,-123.1318361,fast_food,Los Amigos Taqueria,625.138352417584
245,49.2805693,-123.1317681,fast_food,Megabite Pizza,621.7333126636694
246,49.2813671,-123.1329957,fast_food,Donair Dude,691.2553805230929
247,49.2832278,-123.1370254,bicycle_rental,Broughton & Burnaby,998.3431488723138
248,49.2818193,-123.1155123,car_sharing,Zipcar,691.1162724640687
249,49.2766479,-123.1256746,restaurant,Manoush’eh,658.4418320156889
250,49.2861606,-123.1242068,restaurant,The Keg Steakhouse + Bar Alberni Street,408.21714641464064
251,49.2848663,-123.1148525,pharmacy,Rexall Drugstore,784.5217730674244
252,49.2890798,-123.1326293,restaurant,Kosoo,980.3497225821036
253,49.2784435,-123.1143287,restaurant,Black Rice Izakaya,900.1307382980614
254,49.2869412,-123.1148363,pub,Lions Pub,890.2370078404614
255,49.2823168,-123.1239578,restaurant,Sala Thai,32.96616064327298
256,49.2865106,-123.1258963,cafe,JJ Bean,464.166278831254
257,49.2813956,-123.1337089,restaurant,Sushi Bar Maumi,745.6450606562843
258,49.284876,-123.1246625,restaurant,Joe Fortes,266.82076362567113
259,49.285665,-123.1272801,cafe,Breka Bakery & Café,423.0058772173069
260,49.2868188,-123.1285213,cafe,Cafe Rico,583.6346694489005
261,49.2870412,-123.1283167,cafe,Tim Hortons,595.6036692948982
262,49.2857079,-123.1269916,restaurant,Blossom Dim Sum & Grill,415.1163048198043
263,49.2850854,-123.125921,restaurant,Zefferelli's Spaghetti Joint,315.20025667031007
264,49.2885656,-123.1177149,cafe,Starbucks,849.4218152607277
265,49.2810287,-123.118654,cafe,Blenz Coffee,470.39469614557396
266,49.2804382,-123.1181035,restaurant,Tractor,535.5106215896814
267,49.2861996,-123.1264976,restaurant,Damso,446.8467170033175
268,49.2786259,-123.1160142,restaurant,Original Joe's,777.3607654248231
269,49.2786063,-123.1168579,restaurant,Patisserie Fur Elise,724.604681986459
270,49.2785018,-123.1156293,fast_food,Subway,810.0823755688212
271,49.2785979,-123.1158033,fast_food,Russet Shack,792.849792943862
272,49.2786375,-123.115902,cafe,Jenjudan,783.9807801722037
273,49.2782724,-123.1154033,pharmacy,Pure Integrative Pharmacy,838.9135284710095
274,49.286296899999996,-123.1277327,cafe,Meet Fresh Robson,501.2268255257719
275,49.2781965,-123.1133537,restaurant,Frankie’s Italian Kitchen & Bar,979.9857766013703
